"1","Antena/Base de antena","Antenna/Antenna Base"
"2","Batería/Caja","Battery/Box"
"3","Defensa/Cubierta/Extensión-Frente","Bumper/Cover/Ext-Front"
"4","Defensa/Cubierta/Extensión-Trasera","Bumper/Cover/Ext-Rear"
"5","Goma/Tope de defensa-Delantera","Bumper Guard/Strip-Front"
"6","Goma/Tope de defensa-Trasera","Bumper Guard/Strip-Rear"
"7","Puerta- Trasera de Carga, Derecha","Door-Back Cargo, Right"
"8","Puerta- Trasera de Carga, Izquierda","Door-Back Cargo, Left"
"9","Puerta Lateral de carga","Door, Side Carco"
"10","Puerta Delantera - Izquierda","Door-Left Front"
"11","Puerta Trasera - Izquierda","Door-Left Rear"
"12","Puerta Delantera - Derecha","Door-Right Front"
"13","Puerta Trasera - Derecha","Door-Right Rear"
"14","Salpicadera Izquierda","Fender-Left Front"
"15","Costado/Cuarto izquierdo","Quarter Panel/Pick-Up Box-Left"
"16","Salpicadera Derecha","Fender-Right Front"
"17","Costado /Cuarto Derecho","Quarter Panel/Pick-Up Box -Right"
"18","Tapetes Delanteros","Front Floor Mats"
"19","Tapetes Traseros","Floor Mats Rear"
"20","Parabrisas","Glass Windshield"
"21","Medallón","Glass Rear"
"22","Parrilla","Grille"
"23","Caja/ Bolsa de accesorios","Accessory Bag / Box"
"24","Faros-Cubrefaros-Intermitentes","HeadlIght/Cover/Turn Signal"
"25","Luces Antiniebla/Largas de posición","Lamps-Fog/Driving/Spot Light"
"26","Cubierta interior toldo","Headliner"
"27","Cofre","Hood"
"28","Llaves","Keys"
"29","Control remoto","Keyless Remote"
"30","Espejo exterior izquierdo","Mirror-Outside Left"
"31","Espejo exterior Derecho","Mirror-Outside Right"
"32","Abierto","Open"
"33","Radio/DVD","Audio/Video Player"
"34","Pantalla TC/DVD","Tv/Dvd Screen"
"35","Estribo Interior Izquierdo","Rocker Panel/Outer Sill – Left"
"36","Estribo Interior Derecho","Rocker Panel/Outer Sill – Right"
"37","Toldo","Roof"
"38","Estribo Exterior Izquierdo","Running Board/Step – Left"
"39","Estribo Exterior Derecho","Running Board/Step – Right"
"40","Llanta de Refacción","Spare Tire/Wheel"
"41","Abierto","Open"
"42","Deflector Delantero","Splash Panel/Spoiler – Front"
"43","Abierto","Open"
"44","Deposito Combustible (Tanque)","Gas Tank"
"45","Luces Traseras","Tail Light / Hardware"
"46","Abierto","Open"
"47","Abierto","Open"
"48","Cubierta interior Puerta-Izquierda","Trim Panel-Front Left"
"49","Cambiador de CDs Unidad Separada","Cd Changer Separate Unit"
"50","Cubierta interior Puerta-Derecha","Trim Panel-Front Right"
"51","Abierto","Open"
"52","Cajuela/5a Puerta","Deck Lid/Tailgate/Hatchback"
"53","Quemacocos","Sunroof/T-Top"
"54","Bajo Piso","Undercarriage-Other"
"55","Area de Carga","Cargo Area-Other"
"56","Techo de Vinil (Convertible)","Vinyl/Convertible Top/Tonneau Cover"
"57","Tapones /Centros de rin","Wheel Covers/Caps/Rings"
"58","Bocinas","Radio Speakers"
"59","Limpiaparabrisas (todos)","Wipers, All"
"60","Uso Especial","Open"
"61","Caja Interior Pickup","Box Interior, Pickup"
"62","Abierto","Open"
"63","Rieles de interior de caja Pickup","Rails/ Truckbed/Lightbar"
"64","Espoiler Traser/Delantero","Spoiler/Deflector Rear"
"65","Barras portaequipaje","Luggage Rack (Strips) / Drip Rail"
"66","Tablero","Dash/Instrument Panel"
"67","Encendedor/Cenicero","Cigarette Lighter/Ashtray"
"68","Alfombra Delantera","Carpet-Front"
"69","Poste central/ Pilar Derecho","Center Post, Right"
"70","Poste central/ Pilar Izquierdo","Center Post Left"
"71","Poste","Corner Post"
"72","Llanta Delantera Izquierda","Left Front Tire"
"73","Rin Delantero Izquierdo","Left Front Wheel/Rim"
"74","Llanta Trasera Izquierda","Left Rear Tire"
"75","Rin Trasero Izquierdo","Left Rear Wheel/Rim"
"76","Llanta Delantera Derecha","Right Rear Tire"
"77","Rin Delantero Derecho","Right Rear Wheel/Rim"
"78","Llanta Trasera Derecha","Right Front Tire"
"79","Rin Trasero Derecho","Right Front Wheel/Rim"
"80","Panel de Ventilación","Cowl"
"81","Tapa Depósito de Gasolina","Gas/Cap Cover"
"82","Salpicadera Trasera Izquierda","Fender-Rear Left"
"83","Salpicadera Trasera Derecha","Fender-Rear Right"
"84","Herramientas/Gato","Tools/Jacks/Spare-Tire Mount + Lock"
"85","Unidad GPS/Comunicaciones","Communication/Gps Unit"
"86","Sensores de estacionamiento","Parking Sonar System"
"87","Abierto","Open"
"88","Abierto","Open"
"89","Arnes y cables de arrastre","Trailer Hitch, Wiring Harness, Tow Hooks"
"90","Bastidor","Frame"
"91","Tubo de escape","Exhaust System"
"92","Porta-Placa","License-Bracket"
"93","Volante/Bolsa de aire","Steering Wheel/ Airbag"
"94","Asiento delantero izquierdo","Seat-Front Left"
"95","Asiento delantero derecho","Seat-Front Right"
"96","Asiento trasero","Seat-Rear"
"97","Alfombra Trasera","Carpet-Rear"
"98","Interior/Otros","Interior Other"
"99","Compartimiento motor-Otros","Engine Compartment-Other"
